"","Tree.ID","X.1","X","sp.x","dbh.2","jd","notes","type","X0","X1","X2","X7","X10","npp"
"235",171424,239,540,"querru",32.97,204,"","deciduous",0,0,0,1,0,0.084643292749274
"236",171452,240,541,"querru",38.23,204,"","deciduous",0,0,0,1,0,0.144982865232567
"238",180147,242,552,"querru",13.72,185,"","deciduous",0,0,0,1,1,0.00572491246739451
"239",180190,243,553,"querru",14.46,185,"","deciduous",1,0,0,1,0,0.0216426773150286
"240",180701,244,554,"querru",25.01,191,"","deciduous",0,0,0,1,0,0.0637702898607606
"241",180841,245,555,"querru",29.14,194,"","deciduous",1,0,0,5,0,0.0698285323995815
"242",190135,246,560,"querru",23.61,185,"","deciduous",0,0,0,4,0,0.0663757080249993
"243",190155,247,561,"querru",23.6,185,"","deciduous",4,0,0,2,0,0.0231221968809134
"244",190218,248,562,"acerru",14.76,185,"","deciduous",1,0,0,3,0,0.0057028674658031
"245",190236,249,563,"querru",29.01,185,"","deciduous",0,0,0,2,0,0.0237025136672896
"246",190354,250,564,"querru",25.12,191,"","deciduous",0,0,0,2,0,0.016544488430258
"247",190508,251,565,"querru",25.68,194,"","deciduous",0,0,0,5,0,0.0285955160512454
"248",190524,252,566,"querru",62.37,194,"","deciduous",0,0,0,1,0,0.423293292410223
"249",190586,253,567,"pinust",31.24,194,"","coniferous",0,0,0,4,0,0.000470807747100632
"251",200112,255,577,"querru",32.73,185,"","deciduous",0,0,0,2,0,0.148456092267173
"252",200263,256,578,"querru",44.78,191,"","deciduous",0,0,0,1,0,0.145146365353483
"253",200385,257,579,"acerru",17.72,191,"","deciduous",0,0,0,1,0,0.00510369174745999
"255",200565,259,581,"querru",18.13,194,"","deciduous",2,0,0,4,0,0.0164889491550007
"256",210025,260,586,"querru",37.79,185,"","deciduous",0,0,0,3,0,0.0879089723100214
"257",210070,261,587,"querru",50.33,185,"","deciduous",1,0,0,7,0,0.300200425492135
"258",210107,262,588,"querru",23.05,185,"","deciduous",0,0,0,2,0,0.00991930897422999
"261",220165,265,595,"querru",21.39,185,"","deciduous",0,0,0,1,0,0.00994103328648979
"263",220306,267,597,"querru",42.29,191,"","deciduous",0,0,0,2,0,0.159061969339322
"264",220323,268,598,"querru",28.59,191,"","deciduous",0,0,0,2,0,0.0149269750055289
"265",230112,269,606,"querru",25.89,185,"","deciduous",0,0,0,1,0,0.0419312916336766
"266",230398,271,608,"querru",31,191,"unfinished","deciduous",1,2,0,3,0,0.0586480229088885
"267",230560,272,609,"querru",46.62,194,"","deciduous",1,5,0,3,0,0.213025196867096
"268",230563,273,610,"querru",43.51,194,"","deciduous",0,1,0,1,0,0.128290234830996
"269",240404,275,625,"querru",32.44,191,"","deciduous",0,3,0,4,0,0.146925128298446
"270",240712,276,626,"acerru",28.16,194,"","deciduous",0,0,0,4,0,0.0194207137309071
"272",240745,278,628,"querru",22.1,194,"","deciduous",1,0,0,1,0,0.0261704315453572
"273",260632,279,641,"acerru",30.51,197,"","deciduous",1,2,0,1,1,0.0993599267666557
"274",270084,280,650,"querru",72.27,185,"","deciduous",0,0,0,2,2,0.404660843179394
"275",270416,281,651,"querru",33.5,192,"","deciduous",1,1,0,2,0,0.264766468846018
"276",270492,282,652,"acerru",22.43,192,"","deciduous",1,0,0,1,0,0.0178821386856423
"278",270638,284,654,"pinust",21.23,192,"","coniferous",1,1,0,1,0,-2.21716805618578e-05
"283",280429,289,671,"querru",40.59,192,"","deciduous",1,2,0,2,0,0.126773980730326
"284",280807,290,672,"acerru",11.92,197,"","deciduous",0,0,0,2,0,0.00745759104143925
"285",280816,291,673,"querru",39.48,197,"","deciduous",0,0,0,2,0,0.154597167031604
"286",290036,292,686,"querru",71.63,185,"","deciduous",0,0,2,1,0,0.549296674023825
"287",290742,293,687,"tsugca",11.94,197,"","coniferous",0,0,0,1,0,8.89910779822759e-05
"290",291296,296,690,"acerru",13.93,204,"dead","deciduous",1,0,0,1,0,0.00035113019820121
"292",300674,298,704,"acerru",30.92,197,"","deciduous",0,0,0,1,0,0.0715834574848622
"293",300898,299,705,"pinust",31.79,197,"","coniferous",0,0,0,1,0,0.000169276412317169
"294",301129,300,706,"tsugca",13.41,204,"dead","coniferous",0,0,0,1,0,3.25097727799163e-05
"296",301148,302,708,"pinust",19.82,204,"dead","coniferous",0,0,0,2,0,5.68063014407504e-06
"297",301161,303,709,"querru",31.23,204,"","deciduous",0,0,0,1,0,0.0686446972850462
"298",310238,304,721,"querru",41.1,185,"","deciduous",1,0,0,1,0,0.075240467423213
"299",310623,305,722,"querru",43.64,192,"","deciduous",1,0,1,1,0,0.220086246693953
"300",310700,306,723,"pinust",54.43,192,"","coniferous",1,0,0,2,0,0.00365337801033334
"302",320485,309,739,"querru",62.74,185,"","deciduous",1,0,1,2,0,0.284440528312339
"303",321440,310,740,"acerru",16.03,212,"","deciduous",0,0,0,1,0,0.0073237254081371
"304",330011,311,761,"querru",38.83,185,"","deciduous",0,0,0,6,0,0.0597896666242204
"305",330179,312,762,"querru",32.41,185,"","deciduous",1,0,0,3,0,0.0410447348652128
"306",330204,313,763,"querru",47.72,185,"","deciduous",2,1,0,3,0,0.1395584293072
"307",330347,314,764,"querru",34.3,185,"","deciduous",2,0,0,3,0,0.0391716779298896
"308",330351,315,765,"querru",26.32,185,"","deciduous",0,0,0,2,0,0.00753341123871315
"309",330680,316,766,"acerru",23.52,192,"","deciduous",1,0,0,1,0,0.0255178304041465
"310",330993,317,767,"querru",39.93,197,"","deciduous",1,0,0,1,0,0.154344547533406
"311",331159,318,768,"tsugca",14.97,212,"","coniferous",0,0,0,1,0,0.000372252510041691
"312",331236,319,769,"querru",45.5,212,"","deciduous",0,0,0,1,0,0.142945132134461
"314",340244,321,790,"querru",29.64,185,"","deciduous",1,0,1,3,0,0.0334566175275573
"315",340309,322,791,"querru",50.3,185,"","deciduous",2,0,0,3,0,0.14068597699124
"316",340419,323,792,"querru",28.57,192,"","deciduous",1,0,0,2,0,0.0291690487040002
"317",340591,324,793,"querru",38.78,192,"","deciduous",2,0,0,2,1,0.145314104858031
"318",350384,326,810,"querru",44.9,185,"","deciduous",1,0,0,1,0,0.0921871557366363
"319",350816,327,811,"acerru",16.82,197,"","deciduous",0,0,0,2,0,0.00179878936831371
"320",350903,328,812,"querru",48.2,197,"","deciduous",0,0,0,1,0,0.147600261635667
