"","X.3","X.2","stem.tag","X.1","X","sp.x.x.x","type.x","gx","npp.x","X0","X1","X2","X7","X10","shannon.fun","shannon.fun_tuk","npp_tuk.x","sp.x.x.y","type.y","npp.y","alienus","americana","fulva","herculeanus","impar","longispinosis","nearcticus","neogagates","novaeboracensis","noveboracensis","pennsylvanicus","picea","punctiventris","shannon","shannon.sp_tuk","npp_tuk.y","hill.sp","hill.fun","abundance.sp","sp.log","fun.log","npp.log"
"40",40,40,40651,40,40,"tsugca","coniferous",62.6774,0.000925848521047174,0,0,0,4,0,1,1,0.000925848521047174,"tsugca","coniferous",0.000925848521047174,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0.000925848521047174,1,1,2,0.301029995663981,0,-3.03346006283722
"41",41,41,40694,41,41,"tsugca","coniferous",62.1597,2.28963743021542e-05,0,0,0,1,0,1,1,2.28963743021542e-05,"tsugca","coniferous",2.28963743021542e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2.28963743021542e-05,1,1,1,0,0,-4.64023328382751
"42",42,42,40710,42,42,"tsugca","coniferous",68.9908,0.00160724596614766,0,0,0,1,0,1,1,0.00160724596614766,"tsugca","coniferous",0.00160724596614766,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00160724596614766,1,1,1,0,0,-2.79391765555372
"43",43,43,40746,43,43,"tsugca","coniferous",77.6815,0.000192934814256726,0,0,0,1,0,1,1,0.000192934814256726,"tsugca","coniferous",0.000192934814256726,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000192934814256726,1,1,1,0,0,-3.71458939871501
"44",44,44,40854,44,44,"pinust","coniferous",69.5452,0.00375118143287208,0,0,0,1,0,1,1,0.00375118143287208,"pinust","coniferous",0.00375118143287208,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00375118143287208,1,1,1,0,0,-2.42583192988031
"45",45,45,40880,45,45,"tsugca","coniferous",74.1338,0.0012191117084215,0,0,0,1,0,1,1,0.0012191117084215,"tsugca","coniferous",0.0012191117084215,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0012191117084215,1,1,1,0,0,-2.91395649772185
"46",46,46,40905,46,46,"tsugca","coniferous",61.1614,6.50053706898802e-05,0,0,0,1,0,1,1,6.50053706898802e-05,"tsugca","coniferous",6.50053706898802e-05,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,6.50053706898802e-05,1,1,1,0,0,-4.18705076082448
"47",47,47,40923,47,47,"pinust","coniferous",71.7283,0.00279917879478802,0,0,1,0,0,1,1,0.00279917879478802,"pinust","coniferous",0.00279917879478802,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0.00279917879478802,1,1,1,0,0,-2.55296936051566
"48",48,48,40946,48,48,"pinust","coniferous",71.58525,0.00321730250894008,0,0,0,1,0,1,1,0.00321730250894008,"pinust","coniferous",0.00321730250894008,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00321730250894008,1,1,1,0,0,-2.49250810235984
"49",49,49,50135,49,49,"tsugca","coniferous",84.4853,0.000343632897318858,0,0,0,9,0,1,1,0.000343632897318858,"tsugca","coniferous",0.000343632897318858,0,0,3,0,0,0,0,0,0,0,0,6,0,1.88988157484231,1.22981912373371,0.000343632897318858,2,1,3,0.477121254719662,0,-3.46390526614421
"50",50,50,50189,50,50,"acerru","deciduous",92.7772,0.0153110562050738,0,0,0,1,0,1,1,0.0153110562050738,"acerru","deciduous",0.0153110562050738,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0153110562050738,1,1,1,0,0,-1.81499484926167
"51",51,51,50269,51,51,"tsugca","coniferous",82.2109,0.000321037286868768,0,0,0,1,0,1,1,0.000321037286868768,"tsugca","coniferous",0.000321037286868768,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.000321037286868768,1,1,1,0,0,-3.49344452354241
"52",52,52,50409,52,52,"acerru","deciduous",86.595,0.045987136202249,0,0,0,36,0,1,1,0.045987136202249,"acerru","deciduous",0.045987136202249,0,0,6,0,0,0,0,0,0,0,0,30,0,1.5691925832142,1.15769665963744,0.045987136202249,2,1,6,0.778151250383644,0,-1.33736363478964
"53",53,53,50617,53,53,"tsugca","coniferous",80.629,0.000299367827957019,0,0,0,1,0,1,1,0.000299367827957019,"tsugca","coniferous",0.000299367827957019,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000299367827957019,1,1,1,0,0,-3.52379487363719
"54",54,54,50666,54,54,"tsugca","coniferous",90.3085,0.000509218394221647,0,0,0,1,0,1,1,0.000509218394221647,"tsugca","coniferous",0.000509218394221647,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000509218394221647,1,1,1,0,0,-3.2930959169495
"55",55,55,50706,55,55,"tsugca","coniferous",85.1514,0.000714821679812959,0,0,0,9,0,1,1,0.000714821679812959,"tsugca","coniferous",0.000714821679812959,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0.000714821679812959,1,1,3,0.477121254719662,0,-3.14580228425767
"56",56,56,50755,56,56,"tsugca","coniferous",81.2391,0.00012623930774314,0,0,0,25,0,1,1,0.00012623930774314,"tsugca","coniferous",0.00012623930774314,0,0,10,0,0,0,0,0,0,0,0,15,0,1.96013170420779,1.24449371398726,0.00012623930774314,2,1,5,0.698970004336019,0,-3.89880539566316
"57",57,57,50791,57,57,"pinust","coniferous",81.7339,0.00210753503355054,0,0,0,1,0,1,1,0.00210753503355054,"pinust","coniferous",0.00210753503355054,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.00210753503355054,1,1,1,0,0,-2.67622519736693
"58",58,58,50856,58,58,"pinust","coniferous",85.2454,0.00469370193878652,0,0,0,4,0,1,1,0.00469370193878652,"pinust","coniferous",0.00469370193878652,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1.25266443862413,0.00469370193878652,2,1,2,0.301029995663981,0,-2.32848449259219
"59",59,59,50921,59,59,"pinust","coniferous",96.5948,0.00376444560640385,0,0,2,2,0,2,1.14869835499704,0.00376444560640385,"pinust","coniferous",0.00376444560640385,0,0,2,0,0,0,0,0,0,0,2,0,0,2,1.25266443862413,0.00376444560640385,2,2,2,0.301029995663981,0.301029995663981,-2.42429897372834
"60",60,60,50988,60,60,"acerru","deciduous",96.8524,0.129343751728171,0,0,0,1,0,1,1,0.129343751728171,"acerru","deciduous",0.129343751728171,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.129343751728171,1,1,1,0,0,-0.888254546116507
"61",61,61,60087,61,61,"querru","deciduous",116.968,0.0507033098098705,3,0,0,6,0,1.88988157484231,1.13576091234023,0.0507033098098705,"querru","deciduous",0.0507033098098705,0,0,0,0,0,3,0,0,0,0,0,6,0,1.88988157484231,1.22981912373371,0.0507033098098705,2,2,3,0.477121254719662,0.301029995663981,-1.29496368987287
"62",62,62,60161,62,62,"querru","deciduous",119.005,-0.027233723156235,2,0,0,2,0,2,1.14869835499704,-0.027233723156235,"querru","deciduous",-0.027233723156235,0,0,0,0,0,2,0,0,0,0,0,2,0,2,1.25266443862413,-0.027233723156235,2,2,2,0.301029995663981,0.301029995663981,NA
"63",63,63,60183,63,63,"acerru","deciduous",119.602,0.030608154445526,0,0,0,25,0,1,1,0.030608154445526,"acerru","deciduous",0.030608154445526,0,0,5,0,0,0,0,0,0,0,0,20,0,1.64938488846612,1.17660219342176,0.030608154445526,2,1,5,0.698970004336019,0,-1.514162855907
"64",64,64,60224,64,64,"pinust","coniferous",100.89,3.60154806291677e-06,0,0,0,1,0,1,1,3.60154806291677e-06,"pinust","coniferous",3.60154806291677e-06,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,3.60154806291677e-06,1,1,1,0,0,-5.44351078515766
"65",65,65,60828,65,65,"tsugca","coniferous",102.893,0.00091792764778395,0,0,0,9,0,1,1,0.00091792764778395,"tsugca","coniferous",0.00091792764778395,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0.00091792764778395,1,1,3,0.477121254719662,0,-3.03719154908908
"66",66,66,60880,66,66,"pinust","coniferous",109.588,0.00810667158967281,0,0,0,9,0,1,1,0.00810667158967281,"pinust","coniferous",0.00810667158967281,0,0,3,0,0,0,0,0,0,0,0,6,0,1.88988157484231,1.22981912373371,0.00810667158967281,2,1,3,0.477121254719662,0,-2.09115742038125
"67",67,67,60967,67,67,"pinust","coniferous",114.935,0.00735768495529618,0,0,0,2,2,2,1.14869835499704,0.00735768495529618,"pinust","coniferous",0.00735768495529618,0,0,0,0,2,0,0,0,0,0,0,2,0,2,1.25266443862413,0.00735768495529618,2,2,2,0.301029995663981,0.301029995663981,-2.13325881192561
"68",68,68,61080,68,68,"tsugca","coniferous",100.912,0.000516708889849386,0,0,0,1,0,1,1,0.000516708889849386,"tsugca","coniferous",0.000516708889849386,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0.000516708889849386,1,1,1,0,0,-3.2867540664603
"69",69,69,70376,69,69,"acerru","deciduous",125.644,0.0407633525655764,0,0,0,9,0,1,1,0.0407633525655764,"acerru","deciduous",0.0407633525655764,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0.0407633525655764,1,1,3,0.477121254719662,0,-1.3897301048213
