"","stem.tag","X0","X1","X2","X7","X8","X10"
"140",171399,0,0,0,3,0,0
"141",171424,0,0,0,1,0,0
"142",171452,0,0,0,1,0,0
"143",180147,0,0,0,1,0,1
"144",180190,0,0,0,1,1,0
"145",180701,0,0,0,1,0,0
"146",180841,1,0,0,5,0,0
"147",190135,0,0,0,4,0,0
"148",190155,1,0,0,2,3,0
"149",190218,0,0,0,3,1,0
"150",190236,0,0,0,2,0,0
"151",190354,0,0,0,2,0,0
"152",190508,0,0,0,5,0,0
"153",190524,0,0,0,1,0,0
"154",190586,0,0,0,4,0,0
"155",200112,0,0,0,2,0,0
"156",200263,0,0,0,1,0,0
"157",200385,0,0,0,1,0,0
"158",200565,0,0,0,4,2,0
"159",210025,0,0,0,3,0,0
"160",210070,0,0,0,7,1,0
"161",210107,0,0,0,2,0,0
"162",220165,0,0,0,1,0,0
"163",220306,0,0,0,2,0,0
"164",220323,0,0,0,2,0,0
"165",230112,0,0,0,1,0,0
"166",230398,0,2,0,3,1,0
"167",230560,0,5,0,3,1,0
"168",230563,0,1,0,1,0,0
"169",240404,0,3,0,4,0,0
"170",240712,0,0,0,4,0,0
"171",240745,1,0,0,1,0,0
"172",260632,1,2,0,1,0,1
"173",270084,0,0,0,2,0,2
"174",270416,1,1,0,2,0,0
"175",270492,0,0,0,1,1,0
"176",270638,0,1,0,1,1,0
"177",280429,0,2,0,2,1,0
"178",280807,0,0,0,2,0,0
"179",280816,0,0,0,2,0,0
"180",290036,0,0,2,1,0,0
"181",290742,0,0,0,1,0,0
"182",291296,0,0,0,1,1,0
"183",300674,0,0,0,1,0,0
"184",300898,0,0,0,1,0,0
"185",301129,0,0,0,1,0,0
"186",301148,0,0,0,2,0,0
"187",301161,0,0,0,1,0,0
"188",310238,0,0,0,1,1,0
"189",310623,1,0,1,1,0,0
"190",310700,0,0,0,2,1,0
"191",320485,0,0,1,2,1,0
"192",321440,0,0,0,1,0,0
"193",330011,0,0,0,6,0,0
"194",330179,1,0,0,3,0,0
"195",330204,0,1,0,3,2,0
"196",330347,0,0,0,3,2,0
"197",330351,0,0,0,2,0,0
"198",330680,0,0,0,1,1,0
"199",330993,0,0,0,1,1,0
"200",331159,0,0,0,1,0,0
"201",331236,0,0,0,1,0,0
"202",340244,0,0,1,3,1,0
"203",340309,0,0,0,3,2,0
