"","stem.tag","sp.x.x","dbh.2","type","gx","gy","dbh","agb","basal.area","agb.1","agb.2","npp"
"89",60880,"pinust",61.37,"coniferous",109.588,163.356,56,1.97821395,2463.0086404144,0.0309849204564943,0.0390915920461671,0.00810667158967281
"90",60967,"pinust",54.21,"coniferous",114.935,186.489,48.2,1.366220589,1824.66842913149,0.0211749919997817,0.0285326769550779,0.00735768495529618
"91",70494,"pinust",23.93,"coniferous",125.008,103.479,21.8,0.178697896,373.252623173003,0.00282698735223887,0.00358148786849831,0.000754500516259437
"92",70519,"pinust",11.55,"coniferous",126.267,110.927,11.3,0.03141028,100.28749148422,0.000533558182880686,0.000564021355685121,3.04631728044349e-05
"93",70526,"pinust",24.09,"coniferous",133.733,115.895,23.3,0.212727535,426.384808926841,0.00334703451553149,0.00364256867229281,0.000295534156761324
"94",70534,"pinust",28.26,"coniferous",134.03,110.52,27.7,0.333819328,602.628156793228,0.00519160036495895,0.00546210695517266,0.000270506590213707
"95",70677,"pinust",10.87,"coniferous",137.58299,121.853,12.8,0.043737149,128.679635091038,0.000732037571921856,0.000483537917769017,-0.000248499654152839
"96",80571,"pinust",48.1,"coniferous",150.87601,104.462,43.8,1.075698306,1506.7392525882,0.016607861570507,0.0210636734662439,0.00445581189573682
"97",80580,"pinust",60.02,"coniferous",156.593,101.755,57.7,2.128250295,2614.81825141749,0.0334282566003393,0.0369458302410769,0.00351757364073753
"98",80657,"pinust",21.18,"coniferous",146.483,145.12399,20.4,0.150108166,326.851299679482,0.0023887673983609,0.00262739962937186,0.000238632231010956
"99",80668,"pinust",50.63,"coniferous",149.396,159.526,46.8,1.269544092,1720.21047339963,0.0196487287588837,0.0239903464326072,0.00434161767372346
"100",80685,"pinust",28.11,"coniferous",157.18201,150.457,25,0.255679508,490.873852123405,0.00400195746918686,0.00538883274364806,0.0013868752744612
"101",80762,"pinust",15.11,"coniferous",153.116,167.093,15.3,0.070214605,183.853856069709,0.00115116469040002,0.00111523578230091,-3.59289080991132e-05
"102",80892,"pinust",41.27,"coniferous",153.188,214.81599,37.5,0.72675402,1104.46616727766,0.0111982828293755,0.0142802273777645,0.00308194454838901
"103",80896,"pinust",46,"coniferous",156.521,213.46001,43.1,1.033062154,1458.96348230873,0.0159424963749878,0.0188074661368211,0.00286496976183324
"104",80909,"pinust",38.38,"coniferous",159.66901,202.883,34.3,0.578921546,924.013085255464,0.00892982441423477,0.0118772820496161,0.00294745763538131
"105",90508,"pinust",52.01,"coniferous",161.826,100.326,47.4,1.310490331,1764.60117759485,0.0202943726425411,0.0256848746222976,0.00539050197975658
"106",90553,"pinust",14.22,"coniferous",170.205,102.139,13.7,0.052383869,147.411381288067,0.000869788883884932,0.000956020164406111,8.62312805211794e-05
"107",90623,"pinust",41.41,"coniferous",160.54401,141.992,36.8,0.692751,1063.61760879936,0.010675373124818,0.0144034908442462,0.0037281177194282
"108",90638,"pinust",31.43,"coniferous",163.399,140.92,28.2,0.349661489,624.580035460187,0.0054327252966817,0.00715375601635276,0.00172103071967105
"109",90692,"pinust",59.86,"coniferous",169.58,170.194,56.1,1.986873846,2471.81295382608,0.0311255425775069,0.0366963716721897,0.00557082909468288
"110",100770,"pinust",37.22,"coniferous",193.64799,136.89301,33.9,0.561801121,902.587423357981,0.00866790657939162,0.0109872998820353,0.00231939330264365
